Name,Skills,Company,Experience
Arpit,SQL,Google,1
Arpit,SQL,Cisco,4
Jacob,Excel,Facebook,3
Akshay,Python,Google,2
Sara,Java,Disney,5
Jared,AWS,LinkedIn,2
Miya,Angular JS,Twitter,1
Chuck,Java,Facebook,4
Harry,Python,Qualcomm,
John,Product Management,Nvidia,
Jason,Shell Scripting,Paypal,
John,Python,SpaceX,
Shelly,Django,Zynga,
Jacob,SQL,Ebay,
Miya,Node,Walmart,
Tina,Java,Amazon,
Joseph,Angular JS,Amazon,
Fred,NLP,Facebook,
Eric,Ruby on Rails,,
Tom,AWS,,
Robert,"R, Python",,
Cindy,Android Development,,
Andy,Excel,,
Chris,Drupal,,
Disha,Tableau,,
Julian,Python,,
Francis,JS,,
Claire,SQL,,
Doug,MySQL,,
Stamper,Junos,,
Cathy,Drupal,,
Ted,Tableau,,
Robin,CSS,,
Barney,AWS,,
Chandler,R,,
Joey,Python,,
Daenerys,Excel,,
Arya,Django,,
Sansa,Ruby on Rails,,
Cersei,CCNA,,
Rachel,"UI,UX",,
Ross,"Angular JS, Ui,UX",,
Emily,UI,,
Tyrion,HTML,,
Tyrion,Node,,
Janice,c#,,
Gaffney,CCNA,,
Gavin ,c#,,
Laveena,"Web Development , AWS",,
